iter	Passed	Remaining
0	240	23840
1	318	15602
2	418	13523
3	521	12507
4	602	11439
5	686	10758
6	716	9522
7	807	9290
8	899	9093
9	979	8818
10	1063	8605
11	1145	8397
12	1233	8256
13	1315	8082
14	1401	7944
15	1493	7838
16	1586	7745
17	1680	7657
18	1763	7518
19	1848	7393
20	1952	7344
21	2043	7243
22	2126	7120
23	2224	7045
24	2308	6925
25	2419	6885
26	2510	6788
27	2599	6684
28	2680	6561
29	2720	6347
30	2800	6232
31	2886	6134
32	2968	6026
33	3051	5923
34	3131	5816
35	3216	5717
36	3302	5622
37	3384	5522
38	3470	5427
39	3556	5334
40	3638	5236
41	3724	5142
42	3806	5046
43	3905	4971
44	3989	4876
45	4078	4787
46	4155	4685
47	4237	4590
48	4321	4498
49	4401	4401
50	4487	4311
51	4567	4216
52	4689	4158
53	4777	4070
54	4861	3977
55	4955	3893
56	5042	3803
57	5130	3715
58	5216	3624
59	5298	3532
60	5383	3441
61	5473	3354
62	5505	3233
63	5606	3153
64	5699	3068
65	5789	2982
66	5874	2893
67	5960	2805
68	6041	2714
69	6130	2627
70	6161	2516
71	6241	2427
72	6326	2339
73	6409	2252
74	6494	2164
75	6579	2077
76	6668	1991
77	6790	1915
78	6909	1836
79	7111	1777
80	7246	1699
81	7348	1613
82	7442	1524
83	7643	1455
84	7747	1367
85	7830	1274
86	7913	1182
87	7996	1090
88	8081	998
89	8165	907
90	8246	815
91	8327	724
92	8411	633
93	8506	542
94	8595	452
95	8676	361
96	8762	271
97	8847	180
98	8929	90
99	9013	0
